Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Raspberry PI 4 8GB RAM Kit","To run the software of the robot arm, using heafty hardware for AI implementation and potentional AI learning",1,180.00,"https://www.amazon.com/CanaKit-Raspberry-4GB-Starter-Kit/dp/B08956GVXN/ref=sr_1_9?crid=2H4G67N61KY4W&dib=eyJ2IjoiMSJ9.xz5q9b5slqcsxd9Rc5HrbWvSx6C3QKptTAAv6WVMUPLd7kh8FP2mzfgLUjrrtY9ORM1Lg_tIEyCUxvqJqPtcyGKIWD4L2ae3lYMpU2Et2aznYIr4xXKOJ3s552zHQ3eSFBW0awX33SLTuNZ7Sr851GARFCtRiUaJHDyC_AnBr-2sKZ_AVR3AhO_y7tdejxdIAlTY200_DArhdU_obJppdGP9aVtpYYo2DFCqqOuhHeM.Bf4MBfvg2dxj72sUDJugCzCNn0IZ470rUvxybg9axug&dib_tag=se&keywords=raspberry%2Bpi&qid=1773707043&sprefix=raspberry%2Bpi%2Caps%2C371&sr=8-9&th=1","Amazon"
"Filament PLA","To print parts",1,13.98,"https://www.amazon.com/dp/B07PGY2JP1?ref=ppx_yo2ov_dt_b_fed_asin_title","Amazon"
"XT60 to terminal adapter","to convert lipo battery to usable wires",1,8.99,"https://www.amazon.com/dp/B0FNR5TDR9?ref=ppx_yo2ov_dt_b_fed_asin_title","Amazon"
"4S lipo battery","Power the whole build",1,17.88,"https://www.amazon.com/dp/B08998Z859?ref=ppx_yo2ov_dt_b_fed_asin_title","Amazon"
"GT2 belt kit","To connect parts and to drive.",1,11.99,"https://www.amazon.com/dp/B07JKT5BZQ?ref=ppx_yo2ov_dt_b_fed_asin_title","Amazon"
"DC 12v Motor","To move parts",4,59.96,"https://www.amazon.com/dp/B072R57C56?ref=ppx_yo2ov_dt_b_fed_asin_title","Amazon"
"L298N motor driver","to control motors",1,9.49,"https://www.amazon.com/dp/B07BK1QL5T?ref=ppx_yo2ov_dt_b_fed_asin_title","Amazon"
"AWG 26 wire","For wiring components",1,8.93,"https://www.amazon.com/dp/B0C7TKK79B?ref=ppx_yo2ov_dt_b_fed_asin_title","Amazon"
"Caster Wheels","For smooth Robot arm rolling and for structural support",1,9.99,"https://www.amazon.com/dp/B0C69FYKC3?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1","Amazon"
"Soldering Flux","For soldering",1,9.99,"https://www.amazon.com/dp/B0D3H8NZLP?ref=ppx_yo2ov_dt_b_fed_asin_title","Amazon"
